GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,Winrate
Overall,2022-23,1610612742,DAL,2022-11-27T00:00:00,5,1,4,0.2,8.8,1.4,3.6,0.389,1.2,2.6,0.462,0.2,0.2,1.0,0.2,0.8,1.0,0.8,0.2,0.0,0.0,0.4,2.0,0.6,4.2,2.8,6.4,0,0,7.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612747,LAL,2022-11-22T00:00:00,14,5,9,0.357,27.4,1.2,4.6,0.266,0.7,3.0,0.238,1.0,1.2,0.824,0.6,3.3,3.9,2.9,1.0,0.9,0.4,0.4,3.1,1.9,4.1,-0.4,16.0,0,0,14.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612765,DET,2022-11-27T00:00:00,18,3,15,0.167,31.2,4.7,11.4,0.408,1.6,5.4,0.286,3.8,4.2,0.908,1.1,3.7,4.8,1.5,1.4,0.9,0.2,0.6,1.7,2.6,14.7,-5.6,24.6,1,0,24.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612761,TOR,2022-11-28T00:00:00,10,8,2,0.8,7.6,0.9,1.6,0.563,0.1,0.1,1.0,0.2,0.2,1.0,0.5,0.7,1.2,0.4,0.2,0.4,0.1,0.0,1.5,0.4,2.1,1.4,5.4,0,0,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612754,IND,2022-11-28T00:00:00,13,6,7,0.462,10.6,1.4,2.7,0.514,0.1,0.7,0.111,0.6,1.2,0.5,1.2,1.3,2.5,1.1,0.8,0.5,0.6,0.2,2.1,1.3,3.5,-0.8,10.5,1,0,9.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612765,DET,2022-10-21T00:00:00,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612765,DET,2022-11-25T00:00:00,21,5,16,0.238,32.1,7.0,14.1,0.495,2.3,5.9,0.395,4.3,4.9,0.882,0.6,3.4,4.0,2.5,2.2,0.4,0.0,1.4,1.9,3.4,20.6,-5.9,28.1,0,0,30.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612753,ORL,2022-11-28T00:00:00,21,5,16,0.238,27.1,5.5,9.2,0.601,0.9,2.0,0.419,1.6,2.0,0.767,1.5,6.4,7.9,0.9,2.0,0.3,2.0,0.5,1.6,1.6,13.5,-2.5,29.3,6,0,27.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612762,UTA,2022-11-07T00:00:00,3,2,1,0.667,7.1,0.7,2.3,0.286,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,0.7,0.7,0.3,0.0,1.3,1.0,1.3,6.0,5.1,0,0,4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612756,PHX,2022-11-28T00:00:00,20,14,6,0.7,36.8,9.9,21.1,0.47,2.3,6.4,0.352,5.9,6.7,0.88,1.0,4.4,5.4,5.8,2.7,1.2,0.5,1.0,2.6,5.5,27.9,6.7,45.2,3,0,44.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
